Category,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
Convenience Store without Gas Station,0,0.6225,0.6588,0.6826,0.7008,0.7159,0.7289,0.7405,0.7509,0.7605,0.7694,0.7778,0.7856,0.7931,0.8002,0.807,0.8136,0.8199,0.826,0.832,0.8378,0.8434,0.8489,0.8543,0.8596,0.8648,0.8699,0.8749,0.8798,0.8847,0.8895,0.8943,0.899,0.9037,0.9083,0.9129,0.9174,0.922,0.9265,0.931,0.9354,0.9399,0.9443,0.9487,0.9532,0.9576,0.962,0.9664,0.9709,0.9753,0.9797,0.9842,0.9887,0.9932,0.9977,1.0022,1.0068,1.0114,1.016,1.0207,1.0254,1.0302,1.035,1.0399,1.0448,1.0498,1.0548,1.06,1.0652,1.0705,1.0758,1.0813,1.0869,1.0926,1.0985,1.1045,1.1106,1.1169,1.1233,1.13,1.1369,1.144,1.1514,1.1591,1.1671,1.1755,1.1843,1.1936,1.2035,1.214,1.2253,1.2375,1.2509,1.2657,1.2824,1.3016,1.3244,1.3528,1.3911,1.4529
Data Center,0,0.6569,0.6879,0.7082,0.7236,0.7364,0.7474,0.7571,0.7659,0.7739,0.7814,0.7883,0.7949,0.8011,0.8071,0.8127,0.8182,0.8235,0.8285,0.8335,0.8383,0.8429,0.8475,0.852,0.8563,0.8606,0.8648,0.8689,0.873,0.877,0.881,0.8849,0.8888,0.8926,0.8964,0.9002,0.9039,0.9076,0.9113,0.915,0.9186,0.9223,0.9259,0.9295,0.9331,0.9367,0.9403,0.9439,0.9475,0.9512,0.9548,0.9584,0.962,0.9657,0.9694,0.9731,0.9768,0.9805,0.9843,0.988,0.9919,0.9957,0.9996,1.0035,1.0075,1.0115,1.0156,1.0198,1.024,1.0282,1.0326,1.037,1.0415,1.0461,1.0508,1.0556,1.0605,1.0656,1.0708,1.0761,1.0816,1.0873,1.0932,1.0994,1.1058,1.1125,1.1195,1.1269,1.1348,1.1432,1.1521,1.1619,1.1725,1.1842,1.1974,1.2126,1.2306,1.253,1.2831,1.3315
Hospital (General Medical & Surgical),0,0.5854,0.6251,0.6513,0.6714,0.6881,0.7026,0.7154,0.7271,0.7378,0.7477,0.757,0.7658,0.7742,0.7822,0.7898,0.7972,0.8043,0.8112,0.8179,0.8244,0.8308,0.837,0.8431,0.849,0.8549,0.8607,0.8663,0.8719,0.8775,0.8829,0.8883,0.8937,0.899,0.9042,0.9094,0.9146,0.9198,0.9249,0.93,0.9351,0.9402,0.9452,0.9503,0.9553,0.9604,0.9654,0.9705,0.9755,0.9806,0.9908,0.9959,1.001,1.006,1.011,1.017,1.022,1.027,1.033,1.038,1.044,1.049,1.055,1.06,1.066,1.072,1.078,1.084,1.09,1.096,1.102,1.109,1.116,1.122,1.129,1.136,1.144,1.151,1.159,1.167,1.175,1.184,1.193,1.202,1.212,1.222,1.233,1.244,1.256,1.27,1.284,1.299,1.317,1.336,1.356,1.359,1.386,1.419,1.464,1.537
Hotel,0,0.4025,0.4512,0.4842,0.5102,0.532,0.551,0.5681,0.5838,0.5982,0.6118,0.6245,0.6367,0.6483,0.6594,0.6701,0.6804,0.6905,0.7002,0.7098,0.7191,0.7282,0.7371,0.7459,0.7545,0.763,0.7714,0.7797,0.7879,0.796,0.804,0.812,0.8199,0.8277,0.8355,0.8433,0.851,0.8587,0.8664,0.8741,0.8818,0.8894,0.8971,0.9047,0.9124,0.9201,0.9278,0.9355,0.9433,0.9511,0.9589,0.9668,0.9747,0.9827,0.9907,0.9988,1.0069,1.0152,1.0235,1.0319,1.0404,1.049,1.0577,1.0666,1.0755,1.0846,1.0939,1.1033,1.1129,1.1226,1.1326,1.1427,1.1531,1.1638,1.1747,1.1859,1.1974,1.2092,1.2214,1.234,1.2471,1.2606,1.2748,1.2895,1.3049,1.321,1.3381,1.3561,1.3753,1.3959,1.418,1.4421,1.4686,1.4981,1.5315,1.5701,1.6163,1.6743,1.7534,1.8827
K-12 School,0,0.3158,0.3664,0.4015,0.4294,0.4531,0.474,0.4928,0.5102,0.5263,0.5415,0.5559,0.5696,0.5827,0.5954,0.6076,0.6195,0.631,0.6422,0.6532,0.664,0.6746,0.6849,0.6951,0.7052,0.7152,0.725,0.7347,0.7443,0.7539,0.7634,0.7728,0.7821,0.7915,0.8007,0.81,0.8192,0.8284,0.8376,0.8468,0.8559,0.8651,0.8743,0.8836,0.8928,0.9021,0.9114,0.9207,0.9301,0.9396,0.9491,0.9587,0.9683,0.978,0.9878,0.9977,1.0077,1.0178,1.028,1.0383,1.0488,1.0594,1.0701,1.081,1.0921,1.1034,1.1148,1.1265,1.1384,1.1505,1.1629,1.1755,1.1885,1.2018,1.2154,1.2294,1.2439,1.2587,1.2741,1.29,1.3064,1.3236,1.3414,1.36,1.3796,1.4001,1.4218,1.4448,1.4693,1.4956,1.5239,1.5549,1.5889,1.627,1.6701,1.7201,1.7802,1.8558,1.9594,2.1299
Medical Office,0,0.4136,0.4619,0.4945,0.5201,0.5417,0.5604,0.5773,0.5927,0.6069,0.6202,0.6328,0.6447,0.6561,0.667,0.6775,0.6877,0.6975,0.7071,0.7164,0.7255,0.7345,0.7432,0.7518,0.7602,0.7686,0.7768,0.7849,0.7929,0.8008,0.8087,0.8164,0.8242,0.8318,0.8395,0.8471,0.8546,0.8621,0.8696,0.8771,0.8846,0.8921,0.8996,0.907,0.9145,0.922,0.9295,0.9371,0.9446,0.9522,0.9598,0.9675,0.9752,0.983,0.9908,0.9987,1.006,1.0146,1.0227,1.0309,1.0392,1.0476,1.0561,1.0646,1.0734,1.0822,1.0912,1.1004,1.1097,1.1191,1.1288,1.1387,1.1488,1.1591,1.1697,1.1806,1.1917,1.2032,1.2151,1.2273,1.24,1.2531,1.2668,1.2811,1.296,1.3117,1.3282,1.3457,1.3643,1.3842,1.4057,1.429,1.4547,1.4832,1.5155,1.5528,1.5975,1.6535,1.7299,1.8547
Multifamily Housing,0,0.4965,0.5412,0.5709,0.5941,0.6134,0.6301,0.6451,0.6587,0.6712,0.6829,0.6938,0.7042,0.7141,0.7236,0.7327,0.7415,0.75,0.7582,0.7662,0.7741,0.7817,0.7892,0.7965,0.8037,0.8108,0.8177,0.8246,0.8314,0.8381,0.8447,0.8513,0.8578,0.8643,0.8707,0.877,0.8834,0.8897,0.896,0.9022,0.9085,0.9147,0.9209,0.9271,0.9334,0.9396,0.9458,0.9521,0.9583,0.9646,0.9709,0.9772,0.9836,0.99,0.9964,1.0029,1.0094,1.016,1.0227,1.0294,1.0361,1.043,1.0499,1.0569,1.064,1.0712,1.0785,1.086,1.0935,1.1012,1.1091,1.1171,1.1252,1.1336,1.1421,1.1509,1.1599,1.1691,1.1787,1.1885,1.1987,1.2092,1.2201,1.2315,1.2435,1.256,1.2691,1.283,1.2978,1.3136,1.3306,1.349,1.3692,1.3917,1.417,1.4463,1.4812,1.5249,1.5842,1.6806
Office,0,0.1932,0.2384,0.2708,0.2973,0.3202,0.3407,0.3595,0.3769,0.3932,0.4087,0.4234,0.4376,0.4513,0.4646,0.4774,0.49,0.5022,0.5142,0.526,0.5376,0.549,0.5603,0.5714,0.5824,0.5933,0.6041,0.6148,0.6255,0.6361,0.6466,0.6571,0.6676,0.678,0.6884,0.6989,0.7093,0.7197,0.7301,0.7406,0.7511,0.7616,0.7721,0.7828,0.7933,0.804,0.8148,0.8256,0.8365,0.8475,0.8586,0.8697,0.881,0.8924,0.9039,0.9155,0.9273,0.9392,0.9513,0.9636,0.976,0.9886,1.0014,1.0144,1.0277,1.0411,1.0549,1.0689,1.0833,1.0979,1.1129,1.1282,1.144,1.1601,1.1767,1.1939,1.2115,1.2297,1.2486,1.2681,1.2884,1.3096,1.3317,1.3548,1.3791,1.4047,1.4318,1.4606,1.4913,1.5244,1.5602,1.5994,1.6426,1.691,1.7461,1.8104,1.8877,1.9855,2.1205,2.3444
Parking,0,0.1932,0.2384,0.2708,0.2973,0.3202,0.3407,0.3595,0.3769,0.3932,0.4087,0.4234,0.4376,0.4513,0.4646,0.4774,0.49,0.5022,0.5142,0.526,0.5376,0.549,0.5603,0.5714,0.5824,0.5933,0.6041,0.6148,0.6255,0.6361,0.6466,0.6571,0.6676,0.678,0.6884,0.6989,0.7093,0.7197,0.7301,0.7406,0.7511,0.7616,0.7721,0.7828,0.7933,0.804,0.8148,0.8256,0.8365,0.8475,0.8586,0.8697,0.881,0.8924,0.9039,0.9155,0.9273,0.9392,0.9513,0.9636,0.976,0.9886,1.0014,1.0144,1.0277,1.0411,1.0549,1.0689,1.0833,1.0979,1.1129,1.1282,1.144,1.1601,1.1767,1.1939,1.2115,1.2297,1.2486,1.2681,1.2884,1.3096,1.3317,1.3548,1.3791,1.4047,1.4318,1.4606,1.4913,1.5244,1.5602,1.5994,1.6426,1.691,1.7461,1.8104,1.8877,1.9855,2.1205,2.3444
Residence Hall/Dormitory,0,14.554,14.6204,14.6814,14.7384,14.7924,14.8424,14.8894,14.9334,14.9744,15.0134,15.0494,15.0834,15.1154,15.1454,15.1734,15.1994,15.2244,15.2484,15.2704,15.2914,15.3104,15.3294,15.3474,15.3644,15.3804,15.3964,15.4114,15.4254,15.4394,15.4524,15.4654,15.4784,15.4914,15.5034,15.5154,15.5274,15.5384,15.5504,15.5614,15.5734,15.5844,15.5954,15.6064,15.6174,15.6294,15.6404,15.6514,15.6624,15.6734,15.6844,15.6954,15.7064,15.7184,15.7294,15.7404,15.7514,15.7624,15.7744,15.7854,15.7964,15.8074,15.8184,15.8304,15.8414,15.8524,15.8634,15.8754,15.8864,15.8984,15.9094,15.9214,15.9334,15.9454,15.9574,15.9694,15.9824,15.9954,16.0094,16.0224,16.0364,16.0514,16.0664,16.0824,16.0994,16.1164,16.1344,16.1534,16.1734,16.1954,16.2174,16.2414,16.2664,16.2934,16.3224,16.3524,16.3844,16.4194,16.4554,16.4954
Retail Store,0,0.3054,0.3547,0.3889,0.4161,0.4392,0.4596,0.478,0.4949,0.5107,0.5255,0.5396,0.5529,0.5658,0.5781,0.5901,0.6017,0.6129,0.6239,0.6346,0.6452,0.6555,0.6656,0.6756,0.6855,0.6952,0.7048,0.7143,0.7237,0.733,0.7423,0.7515,0.7607,0.7698,0.7788,0.7879,0.7969,0.8059,0.8149,0.8239,0.8329,0.8418,0.8509,0.8599,0.8689,0.878,0.8871,0.8962,0.9054,0.9147,0.924,0.9333,0.9428,0.9523,0.9619,0.9716,0.9813,0.9912,1.0012,1.0113,1.0216,1.0319,1.0424,1.0531,1.064,1.075,1.0862,1.0976,1.1093,1.1211,1.1333,1.1457,1.1584,1.1714,1.1847,1.1985,1.2126,1.2271,1.2422,1.2577,1.2739,1.2907,1.3081,1.3264,1.3455,1.3656,1.3869,1.4094,1.4334,1.4592,1.487,1.5173,1.5507,1.588,1.6302,1.6793,1.7382,1.8123,1.9139,2.0812
Senior Living Community,0,0.477,0.5244,0.5561,0.5809,0.6016,0.6196,0.6357,0.6504,0.6639,0.6765,0.6884,0.6997,0.7104,0.7207,0.7306,0.7401,0.7493,0.7583,0.767,0.7756,0.7839,0.7921,0.8001,0.8079,0.8157,0.8233,0.8308,0.8382,0.8456,0.8528,0.86,0.8672,0.8743,0.8813,0.8883,0.8953,0.9022,0.9091,0.916,0.9229,0.9297,0.9366,0.9434,0.9503,0.9572,0.964,0.9709,0.9778,0.9848,0.9917,0.9987,1.0057,1.0128,1.1099,1.0271,1.0343,1.0416,1.049,1.0564,1.0639,1.0715,1.0792,1.087,1.0949,1.1029,1.111,1.1193,1.1277,1.1362,1.145,1.1539,1.1629,1.1722,1.1818,1.1915,1.2016,1.2119,1.2225,1.2335,1.2448,1.2566,1.2688,1.2816,1.2949,1.3089,1.3236,1.3392,1.3558,1.3735,1.3925,1.4133,1.436,1.4612,1.4898,1.5228,1.5621,1.6114,1.6784,1.7876
Single Family Home,0,0.4205,0.4687,0.5013,0.5268,0.5482,0.5669,0.5837,0.599,0.6132,0.6264,0.6389,0.6507,0.662,0.6729,0.6833,0.6934,0.7032,0.7127,0.722,0.731,0.7399,0.7486,0.7571,0.7655,0.7737,0.7819,0.7899,0.7979,0.8057,0.8135,0.8212,0.8289,0.8365,0.8441,0.8516,0.8591,0.8665,0.874,0.8814,0.888,0.8962,0.9036,0.911,0.9184,0.9258,0.9333,0.9407,0.9482,0.9557,0.9633,0.9709,0.9785,0.9862,0.9939,1.0017,1.0096,1.0175,1.0256,1.0337,1.0418,1.0501,1.0585,1.067,1.0756,1.0844,1.0933,1.1023,1.1115,1.1209,1.1305,1.1402,1.1502,1.1604,1.1709,1.1816,1.1927,1.204,1.2157,1.2278,1.2404,1.2533,1.2669,1.281,1.2957,1.3112,1.3275,1.3448,1.3631,1.3828,1.404,1.427,1.4523,1.4804,1.5123,1.5491,1.5932,1.6484,1.7237,1.8467
Swimming Pool,0,0.3158,0.3664,0.4015,0.4294,0.4531,0.474,0.4928,0.5102,0.5263,0.5415,0.5559,0.5696,0.5827,0.5954,0.6076,0.6195,0.631,0.6422,0.6532,0.664,0.6746,0.6849,0.6951,0.7052,0.7152,0.725,0.7347,0.7443,0.7539,0.7634,0.7728,0.7821,0.7915,0.8007,0.81,0.8192,0.8284,0.8376,0.8468,0.8559,0.8651,0.8743,0.8836,0.8928,0.9021,0.9114,0.9207,0.9301,0.9396,0.9491,0.9587,0.9683,0.978,0.9878,0.9977,1.0077,1.0178,1.028,1.0383,1.0488,1.0594,1.0701,1.081,1.0921,1.1034,1.1148,1.1265,1.1384,1.1505,1.1629,1.1755,1.1885,1.2018,1.2154,1.2294,1.2439,1.2587,1.2741,1.29,1.3064,1.3236,1.3414,1.36,1.3796,1.4001,1.4218,1.4448,1.4693,1.4956,1.5239,1.5549,1.5889,1.627,1.6701,1.7201,1.7802,1.8558,1.9594,2.1299
Warehouse,0,0.0996,0.1374,0.1665,0.1915,0.2138,0.2342,0.2534,0.2715,0.2888,0.3054,0.3215,0.3371,0.3523,0.3672,0.3818,0.3961,0.4102,0.4242,0.438,0.4516,0.4652,0.4786,0.492,0.5053,0.5185,0.5317,0.5449,0.558,0.5711,0.5843,0.5974,0.6105,0.6237,0.6369,0.6502,0.6635,0.6769,0.6903,0.7038,0.7174,0.731,0.7448,0.7587,0.7727,0.7868,0.801,0.8154,0.8299,0.8445,0.8594,0.8744,0.8896,0.905,0.9206,0.9364,0.9525,0.9688,0.9853,1.0021,1.0193,1.0367,1.0545,1.0726,1.0911,1.1099,1.1292,1.1489,1.1691,1.1898,1.2111,1.2329,1.2553,1.2784,1.3022,1.3268,1.3522,1.3786,1.4059,1.4343,1.4639,1.4948,1.5272,1.5612,1.597,1.6349,1.6751,1.7179,1.7639,1.8135,1.8674,1.9265,1.9921,2.0658,2.1501,2.2488,2.3683,2.5205,2.732,3.0868
Wastewater Treatment Plant,0,0.2467,0.2896,0.3195,0.3434,0.3638,0.3818,0.3981,0.4131,0.4271,0.4403,0.4528,0.4648,0.4762,0.4873,0.498,0.5084,0.5185,0.5283,0.538,0.5474,0.5567,0.5658,0.5748,0.5837,0.5924,0.6011,0.6097,0.6182,0.6266,0.635,0.6433,0.6516,0.6598,0.668,0.6762,0.6844,0.6926,0.7077,0.7089,0.717,0.7252,0.7334,0.7416,0.7498,0.758,0.7663,0.7747,0.783,0.7914,0.7999,0.8085,0.8171,0.8257,0.8345,0.8433,0.8523,0.8613,0.8704,0.8797,0.889,0.8985,0.9081,0.9179,0.9278,0.9379,0.9482,0.9587,0.9694,0.9803,0.9914,1.0028,1.0144,1.0264,1.0387,1.0513,1.0643,1.0777,1.0915,1.1058,1.1207,1.1361,1.1522,1.1691,1.1867,1.2053,1.2249,1.2457,1.2679,1.2917,1.3175,1.3455,1.3764,1.411,1.4501,1.4957,1.5503,1.6193,1.7138,1.8697
Worship Facility,0,0.1234,0.164,0.1947,0.2205,0.2434,0.2642,0.2834,0.3016,0.3188,0.3353,0.3512,0.3665,0.3814,0.396,0.4102,0.4241,0.4378,0.4513,0.4646,0.4777,0.4907,0.5036,0.5164,0.5291,0.5417,0.5542,0.5667,0.5792,0.5916,0.604,0.6164,0.6288,0.6412,0.6536,0.6661,0.6786,0.6911,0.7037,0.7163,0.7289,0.7417,0.7545,0.7674,0.7804,0.7935,0.8067,0.82,0.8335,0.847,0.8607,0.8746,0.8886,0.9028,0.9172,0.9317,0.9465,0.9614,0.9766,0.992,1.0077,1.0237,1.0399,1.0565,1.0733,1.0905,1.1081,1.1261,1.1444,1.1633,1.1825,1.2023,1.2227,1.2436,1.2652,1.2874,1.3104,1.3341,1.3588,1.3844,1.4111,1.4389,1.468,1.4985,1.5307,1.5646,1.6006,1.639,1.6801,1.7244,1.7725,1.8252,1.8836,1.9491,2.0239,2.1115,2.2173,2.3518,2.5383,2.8502